指标,民用汽车拥有量(万辆),民用载客汽车拥有量(万辆),民用大型载客汽车拥有量(万辆),民用中型载客汽车拥有量(万辆),民用小型载客汽车拥有量(万辆),民用微型载客汽车拥有量(万辆),民用载货汽车拥有量(万辆),民用重型载货汽车拥有量(万辆),民用中型载货汽车拥有量(万辆),民用轻型载货汽车拥有量(万辆),民用微型载货汽车拥有量(万辆),民用其他汽车拥有量(万辆),机动车驾驶员人数(万人),汽车驾驶员人数(万人)
2023年,32911.55,29395.59,143.06,58.03,29074.95,119.55,3358.94,881.94,77.4,2398.01,1.59,157.02,52319.46,48617.16
2022年,31184.44,27715.55,147.57,61.91,27372.59,133.47,3317.65,894.15,86.29,2335.6,1.61,151.24,50178.05,46434.41
2021年,29418.59,26015.84,153,65.45,25651.99,145.4,3258.47,907.09,95.88,2253.26,2.25,144.28,48113.64,44379.72
2020年,27340.92,24166.18,157.01,68.29,23782.77,158.12,3042.64,840.64,106.19,2092.72,3.09,132.09,45702.49,41794.89
2019年,25376.38,22474.27,160.58,72.08,22069.74,171.88,2782.84,761.7,116.27,1900.76,4.11,119.27,43636.74,39752.86
