指标,交通事故发生数总计(起),交通事故死亡人数总计(人),交通事故直接财产损失总计(万元)
2023年,254738,60028,117933
2022年,256409,60676,123926
2021年,273098,62218,145036
2020年,244674,61703,131361
2019年,247646,62763,134618
2018年,244937,63194,138456
2017年,203049,63772,121311
2016年,212846,63093,120760
2015年,187781,58022,103692
